web-scraper-order,web-scraper-start-url,title,issue number,date,year,publisher,desc,owner,collection,pdf link,pdf link-href
1524733401-169,http://dspace.nplg.gov.ge/handle/1234/228912,ეშმაკის მათრახი N14,N14,22-Feb-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N14.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228912/1/Eshmakis_Matraxi_1920_N14.pdf
1524733440-188,http://dspace.nplg.gov.ge/handle/1234/161577,ეშმაკის მათრახი N35,N35,15-Jun-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N35.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161577/1/Eshmakis_Matraxi_1908_N35.pdf
1524733479-207,http://dspace.nplg.gov.ge/handle/1234/161501,ეშმაკის მათრახი N16,N16,20-Jan-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N16.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161501/1/Eshmakis_Matraxi_1908_N16.pdf
1524733454-195,http://dspace.nplg.gov.ge/handle/1234/161549,ეშმაკის მათრახი N28,N28,27-Apr-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N28.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161549/1/Eshmakis_Matraxi_1908_N28.pdf
1524733475-205,http://dspace.nplg.gov.ge/handle/1234/161519,ეშმაკის მათრახი N18,N18,2-Feb-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N18.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161519/1/Eshmakis_Matraxi_1908_N18.pdf
1524733399-168,http://dspace.nplg.gov.ge/handle/1234/228913,ეშმაკის მათრახი N15,N15,29-Feb-1920,1920,თბილისი : სახელმწიფო სტამბა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1920_N15.pdf,http://dspace.nplg.gov.ge/bitstream/1234/228913/1/Eshmakis_Matraxi_1920_N15.pdf
1524733498-216,http://dspace.nplg.gov.ge/handle/1234/161398,ეშმაკის მათრახი N7,N7,1907,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1907_N7.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161398/1/Eshmakis_Matraxi_1907_N7.pdf
1524733504-219,http://dspace.nplg.gov.ge/handle/1234/161394,ეშმაკის მათრახი N4,N4,1907,1907,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1907_N4.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161394/1/Eshmakis_Matraxi_1907_N4.pdf
1524733442-189,http://dspace.nplg.gov.ge/handle/1234/161574,ეშმაკის მათრახი N34,N34,8-Jun-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N34.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161574/1/Eshmakis_Matraxi_1908_N34.pdf
1524733452-194,http://dspace.nplg.gov.ge/handle/1234/161551,ეშმაკის მათრახი N29,N29,4-May-1908,1908,თბილისი : ელექტრომბეჭდავი შრომა,იუმორისტული ჟურნალი,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა,ეშმაკის მათრახი,Eshmakis_Matraxi_1908_N29.pdf,http://dspace.nplg.gov.ge/bitstream/1234/161551/1/Eshmakis_Matraxi_1908_N29.pdf
