web-scraper-order,web-scraper-start-url,pagination,pagination-href,person,person-href,name,image-src,birth,death,place_burried,category,biography,organization/association/group,Awards/bonuses/prizes,contact info,address - table1,address - table2,job - i,job - table
"1525499145-6157","http://www.nplg.gov.ge/ilia/ka/u4330/","9","http://www.nplg.gov.ge/ilia/ka/u4330/9/","ცისკარაშვილი, ნინო დიმიტრის ასული","http://www.nplg.gov.ge/ilia/ka/00009244/","ნინო დიმიტრის ასული ცისკარაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების თელავის განყოფილების ნამდვილი წევრი (1915-)</li>","null","null","null","null","null","null"
"1525500547-6803","http://www.nplg.gov.ge/ilia/ka/u4329/","10","http://www.nplg.gov.ge/ilia/ka/u4329/10/","ჩითაევი, ალექსანდრე მიხეილის ძე","http://www.nplg.gov.ge/ilia/ka/00003936/","ალექსანდრე მიხეილის ძე ჩითაევი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების კავკავის განყოფილების ნამდვილი წევრი (1909-)</li>","null","null","null","null","null","null"
"1525503435-8126","http://www.nplg.gov.ge/ilia/ka/u4325/","10","http://www.nplg.gov.ge/ilia/ka/u4325/10/","ქებაძე, გრიგოლ სოლომონის ძე","http://www.nplg.gov.ge/ilia/ka/00003246/","გრიგოლ სოლომონის ძე ქებაძე","themes/bios/images/nophoto0n.jpg","18??","null","null","ქიმიკოსი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ბაქოს განყოფილების სარევიზიო კომისიის წევრი (1909-1916)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ბაქოს განყოფილების ნამდვილი წევრი (1909-1916)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1902-)</li>","null","null","null","null","null","null"
"1525501290-7145","http://www.nplg.gov.ge/ilia/ka/u4328/","15","http://www.nplg.gov.ge/ilia/ka/u4328/15/","შენგელია, სოფრო მათეს ძე","http://www.nplg.gov.ge/ilia/ka/00015054/","სოფრო მათეს ძე შენგელია","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების სამურზაყანოს განყოფილების წევრი (1916-1917)</li>","null","null","null","null","null","null"
"1525500307-6693","http://www.nplg.gov.ge/ilia/ka/u4329/","17","http://www.nplg.gov.ge/ilia/ka/u4329/17/","ჩიჩაგუა, ალექსანდრე სვიმონის ძე","http://www.nplg.gov.ge/ilia/ka/00003992/","ალექსანდრე სვიმონის ძე ჩიჩაგუა","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების კავკავის განყოფილების წევრი (1914-)</li>","null","null","null","null","null","null"
"1525502721-7803","http://www.nplg.gov.ge/ilia/ka/u4325/","11","http://www.nplg.gov.ge/ilia/ka/u4325/11/","ქევანაშვილი, რუბენ","http://www.nplg.gov.ge/ilia/ka/00014064/","რუბენ ქევანაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1917-)</li>","null","null","null","null","null","null"
"1525502660-7774","http://www.nplg.gov.ge/ilia/ka/u4325/","","","ქადეიშვილი, ვასილ ივანეს ძე","http://www.nplg.gov.ge/ilia/ka/00007037/","ვასილ ივანეს ძე ქადეიშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ფოთის განყოფილების ნამდვილი წევრი (1910-1915)</li>","null","null","null","null","null","null"
"1525499912-6511","http://www.nplg.gov.ge/ilia/ka/u4329/","29","http://www.nplg.gov.ge/ilia/ka/u4329/29/","ჩხეიძე, ალექსი","http://www.nplg.gov.ge/ilia/ka/00009676/","ალექსი ჩხეიძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ტუაფსეს განყოფილების ნამდვილი წევრი (1916-)</li>","null","null","null","null","null","null"
"1525499304-6230","http://www.nplg.gov.ge/ilia/ka/u4330/","5","http://www.nplg.gov.ge/ilia/ka/u4330/5/","ციბალაშვილი, გიორგი","http://www.nplg.gov.ge/ilia/ka/00015525/","გიორგი ციბალაშვილი","themes/bios/images/nophoto0n.jpg","18??","null","null","სასულიერო პირი","მღვდელი, 1910","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ნამდვილი წევრი (1911-)</li>
<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების გურჯაანის განყოფილების წევრი (1910-)</li>","null","null","null","null","null","null"
"1525500309-6694","http://www.nplg.gov.ge/ilia/ka/u4329/","17","http://www.nplg.gov.ge/ilia/ka/u4329/17/","ჩიქოვანისა, ნატალია ლუკას ასული","http://www.nplg.gov.ge/ilia/ka/00015856/","ნატალია ლუკას ასული ჩიქოვანისა","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","ვლადიმერ როსტომის ძე ჩიქოვანის მეუღლე?","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ხაშურის განყოფილების ნამდვილი წევრი (1916-)</li>","null","null","null","null","null","null"
"1525503170-8008","http://www.nplg.gov.ge/ilia/ka/u4325/","18","http://www.nplg.gov.ge/ilia/ka/u4325/18/","ქორიძე, დიმიტრი","http://www.nplg.gov.ge/ilia/ka/00007543/","დიმიტრი ქორიძე","themes/bios/images/nophoto0n.jpg","18??","null","null","დაუდგენელი","null","<li>ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება, საზოგადოების ფოთის განყოფილების ნამდვილი წევრი (1918-)</li>","null","null","null","null","null","null"
